instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,period
1,2011-01-01,Spring,2011,Jan,0,No,Sat,0,Clear,0.24,0.2879,0.81,0.0,3,13,16,Malam
2,2011-01-02,Spring,2011,Jan,1,No,Sat,0,Clear,0.22,0.2727,0.8,0.0,8,32,40,Malam
3,2011-01-03,Spring,2011,Jan,2,No,Sat,0,Clear,0.22,0.2727,0.8,0.0,5,27,32,Malam
4,2011-01-04,Spring,2011,Jan,3,No,Sat,0,Clear,0.24,0.2879,0.75,0.0,3,10,13,Malam
5,2011-01-05,Spring,2011,Jan,4,No,Sat,0,Clear,0.24,0.2879,0.75,0.0,0,1,1,Malam
6,2011-01-06,Spring,2011,Jan,5,No,Sat,0,Cloudy,0.24,0.2576,0.75,0.0896,0,1,1,Malam
7,2011-01-07,Spring,2011,Jan,6,No,Sat,0,Clear,0.22,0.2727,0.8,0.0,2,0,2,Pagi
8,2011-01-08,Spring,2011,Jan,7,No,Sat,0,Clear,0.2,0.2576,0.86,0.0,1,2,3,Pagi
9,2011-01-09,Spring,2011,Jan,8,No,Sat,0,Clear,0.24,0.2879,0.75,0.0,1,7,8,Pagi
10,2011-01-10,Spring,2011,Jan,9,No,Sat,0,Clear,0.32,0.3485,0.76,0.0,8,6,14,Pagi
11,2011-01-11,Spring,2011,Jan,10,No,Sat,0,Clear,0.38,0.3939,0.76,0.2537,12,24,36,Pagi
12,2011-01-12,Spring,2011,Jan,11,No,Sat,0,Clear,0.36,0.3333,0.81,0.2836,26,30,56,Sore
13,2011-01-13,Spring,2011,Jan,12,No,Sat,0,Clear,0.42,0.4242,0.77,0.2836,29,55,84,Sore
14,2011-01-14,Spring,2011,Jan,13,No,Sat,0,Cloudy,0.46,0.4545,0.72,0.2985,47,47,94,Sore
15,2011-01-15,Spring,2011,Jan,14,No,Sat,0,Cloudy,0.46,0.4545,0.72,0.2836,35,71,106,Sore
16,2011-01-16,Spring,2011,Jan,15,No,Sat,0,Cloudy,0.44,0.4394,0.77,0.2985,40,70,110,Sore
17,2011-01-17,Spring,2011,Jan,16,No,Sat,0,Cloudy,0.42,0.4242,0.82,0.2985,41,52,93,Sore
18,2011-01-18,Spring,2011,Jan,17,No,Sat,0,Cloudy,0.44,0.4394,0.82,0.2836,15,52,67,Sore
19,2011-01-19,Spring,2011,Jan,18,No,Sat,0,Light Rain/Snow,0.42,0.4242,0.88,0.2537,9,26,35,Malam
20,2011-01-20,Spring,2011,Jan,19,No,Sat,0,Light Rain/Snow,0.42,0.4242,0.88,0.2537,6,31,37,Malam
21,2011-01-21,Spring,2011,Jan,20,No,Sat,0,Cloudy,0.4,0.4091,0.87,0.2537,11,25,36,Malam
22,2011-01-22,Spring,2011,Jan,21,No,Sat,0,Cloudy,0.4,0.4091,0.87,0.194,3,31,34,Malam
23,2011-01-23,Spring,2011,Jan,22,No,Sat,0,Cloudy,0.4,0.4091,0.94,0.2239,11,17,28,Malam
24,2011-01-24,Spring,2011,Jan,23,No,Sat,0,Cloudy,0.46,0.4545,0.88,0.2985,15,24,39,Malam
25,2011-01-25,Spring,2011,Jan,0,No,Sun,0,Cloudy,0.46,0.4545,0.88,0.2985,4,13,17,Malam
26,2011-01-26,Spring,2011,Jan,1,No,Sun,0,Cloudy,0.44,0.4394,0.94,0.2537,1,16,17,Malam
27,2011-01-27,Spring,2011,Jan,2,No,Sun,0,Cloudy,0.42,0.4242,1.0,0.2836,1,8,9,Malam
28,2011-01-28,Spring,2011,Jan,3,No,Sun,0,Cloudy,0.46,0.4545,0.94,0.194,2,4,6,Malam
29,2011-01-29,Spring,2011,Jan,4,No,Sun,0,Cloudy,0.46,0.4545,0.94,0.194,2,1,3,Malam
30,2011-01-30,Spring,2011,Jan,6,No,Sun,0,Light Rain/Snow,0.42,0.4242,0.77,0.2985,0,2,2,Pagi
31,2011-01-31,Spring,2011,Jan,7,No,Sun,0,Cloudy,0.4,0.4091,0.76,0.194,0,1,1,Pagi
32,2011-02-01,Spring,2011,Jan,8,No,Sun,0,Light Rain/Snow,0.4,0.4091,0.71,0.2239,0,8,8,Pagi
33,2011-02-02,Spring,2011,Jan,9,No,Sun,0,Cloudy,0.38,0.3939,0.76,0.2239,1,19,20,Pagi
34,2011-02-03,Spring,2011,Jan,10,No,Sun,0,Cloudy,0.36,0.3485,0.81,0.2239,7,46,53,Pagi
35,2011-02-04,Spring,2011,Jan,11,No,Sun,0,Cloudy,0.36,0.3333,0.71,0.2537,16,54,70,Sore
36,2011-02-05,Spring,2011,Jan,12,No,Sun,0,Cloudy,0.36,0.3333,0.66,0.2985,20,73,93,Sore
37,2011-02-06,Spring,2011,Jan,13,No,Sun,0,Cloudy,0.36,0.3485,0.66,0.1343,11,64,75,Sore
38,2011-02-07,Spring,2011,Jan,14,No,Sun,0,Light Rain/Snow,0.36,0.3485,0.76,0.194,4,55,59,Sore
39,2011-02-08,Spring,2011,Jan,15,No,Sun,0,Light Rain/Snow,0.34,0.3333,0.81,0.1642,19,55,74,Sore
40,2011-02-09,Spring,2011,Jan,16,No,Sun,0,Light Rain/Snow,0.34,0.3333,0.71,0.1642,9,67,76,Sore
41,2011-02-10,Spring,2011,Jan,17,No,Sun,0,Clear,0.34,0.3333,0.57,0.194,7,58,65,Sore
42,2011-02-11,Spring,2011,Jan,18,No,Sun,0,Cloudy,0.36,0.3333,0.46,0.3284,10,43,53,Malam
43,2011-02-12,Spring,2011,Jan,19,No,Sun,0,Clear,0.32,0.2879,0.42,0.4478,1,29,30,Malam
44,2011-02-13,Spring,2011,Jan,20,No,Sun,0,Clear,0.3,0.2727,0.39,0.3582,5,17,22,Malam
45,2011-02-14,Spring,2011,Jan,21,No,Sun,0,Clear,0.26,0.2273,0.44,0.3284,11,20,31,Malam
46,2011-02-15,Spring,2011,Jan,22,No,Sun,0,Clear,0.24,0.2121,0.44,0.2985,0,9,9,Malam
47,2011-02-16,Spring,2011,Jan,23,No,Sun,0,Clear,0.22,0.2273,0.47,0.1642,0,8,8,Malam
48,2011-02-17,Spring,2011,Jan,0,No,Mon,1,Clear,0.22,0.197,0.44,0.3582,0,5,5,Malam
49,2011-02-18,Spring,2011,Jan,1,No,Mon,1,Clear,0.2,0.1667,0.44,0.4179,0,2,2,Malam
50,2011-02-19,Spring,2011,Jan,4,No,Mon,1,Clear,0.16,0.1364,0.47,0.3881,0,1,1,Malam
51,2011-02-20,Spring,2011,Jan,5,No,Mon,1,Clear,0.16,0.1364,0.47,0.2836,0,3,3,Malam
52,2011-02-21,Spring,2011,Jan,6,No,Mon,1,Clear,0.14,0.1061,0.5,0.3881,0,30,30,Pagi
53,2011-02-22,Spring,2011,Jan,7,No,Mon,1,Clear,0.14,0.1364,0.5,0.194,1,63,64,Pagi
54,2011-02-23,Spring,2011,Jan,8,No,Mon,1,Clear,0.14,0.1212,0.5,0.2836,1,153,154,Pagi
55,2011-02-24,Spring,2011,Jan,9,No,Mon,1,Clear,0.16,0.1364,0.43,0.3881,7,81,88,Pagi
56,2011-02-25,Spring,2011,Jan,10,No,Mon,1,Clear,0.18,0.1667,0.43,0.2537,11,33,44,Pagi
57,2011-02-26,Spring,2011,Jan,11,No,Mon,1,Clear,0.2,0.1818,0.4,0.3284,10,41,51,Sore
58,2011-02-27,Spring,2011,Jan,12,No,Mon,1,Clear,0.22,0.2121,0.35,0.2985,13,48,61,Sore
59,2011-02-28,Spring,2011,Jan,13,No,Mon,1,Clear,0.24,0.2121,0.35,0.2836,8,53,61,Sore
60,2011-03-01,Spring,2011,Jan,14,No,Mon,1,Clear,0.26,0.2424,0.3,0.2836,11,66,77,Sore
61,2011-03-02,Spring,2011,Jan,15,No,Mon,1,Clear,0.26,0.2424,0.3,0.2537,14,58,72,Sore
62,2011-03-03,Spring,2011,Jan,16,No,Mon,1,Clear,0.26,0.2424,0.3,0.2537,9,67,76,Sore
63,2011-03-04,Spring,2011,Jan,17,No,Mon,1,Clear,0.24,0.2273,0.3,0.2239,11,146,157,Sore
64,2011-03-05,Spring,2011,Jan,18,No,Mon,1,Clear,0.24,0.2576,0.32,0.1045,9,148,157,Malam
65,2011-03-06,Spring,2011,Jan,19,No,Mon,1,Clear,0.2,0.2576,0.47,0.0,8,102,110,Malam
66,2011-03-07,Spring,2011,Jan,20,No,Mon,1,Clear,0.2,0.2273,0.47,0.1045,3,49,52,Malam
67,2011-03-08,Spring,2011,Jan,21,No,Mon,1,Clear,0.18,0.197,0.64,0.1343,3,49,52,Malam
68,2011-03-09,Spring,2011,Jan,22,No,Mon,1,Clear,0.14,0.1515,0.69,0.1343,0,20,20,Malam
69,2011-03-10,Spring,2011,Jan,23,No,Mon,1,Clear,0.18,0.2121,0.55,0.1045,1,11,12,Malam
70,2011-03-11,Spring,2011,Jan,0,No,Tue,1,Clear,0.16,0.1818,0.55,0.1045,0,5,5,Malam
71,2011-03-12,Spring,2011,Jan,1,No,Tue,1,Clear,0.16,0.1818,0.59,0.1045,0,2,2,Malam
72,2011-03-13,Spring,2011,Jan,2,No,Tue,1,Clear,0.14,0.1515,0.63,0.1343,0,1,1,Malam
73,2011-03-14,Spring,2011,Jan,4,No,Tue,1,Clear,0.14,0.1818,0.63,0.0896,0,2,2,Malam
74,2011-03-15,Spring,2011,Jan,5,No,Tue,1,Clear,0.12,0.1515,0.68,0.1045,0,4,4,Malam
75,2011-03-16,Spring,2011,Jan,6,No,Tue,1,Clear,0.12,0.1515,0.74,0.1045,0,36,36,Pagi
76,2011-03-17,Spring,2011,Jan,7,No,Tue,1,Clear,0.12,0.1515,0.74,0.1343,2,92,94,Pagi
77,2011-03-18,Spring,2011,Jan,8,No,Tue,1,Clear,0.14,0.1515,0.69,0.1642,2,177,179,Pagi
78,2011-03-19,Spring,2011,Jan,9,No,Tue,1,Clear,0.16,0.1515,0.64,0.2239,2,98,100,Pagi
79,2011-03-20,Spring,2011,Jan,10,No,Tue,1,Cloudy,0.16,0.1364,0.69,0.3284,5,37,42,Pagi
80,2011-03-21,Spring,2011,Jan,11,No,Tue,1,Clear,0.22,0.2121,0.51,0.2985,7,50,57,Sore
